"filename", "language", "YAML", "C++", "CMake", "Markdown", "JSON", "Dart", "HTML", "Swift", "XML", "Properties", "comment", "blank", "total"
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\linux\runner\CMakeLists.txt", "CMake", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\linux\runner\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\linux\runner\my_application.cc", "C++", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\linux\runner\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 3, 4, 31
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\pubspec.yaml", "YAML", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 17, 117
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 15, 5, 39
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\windows\CMakeLists.txt", "CMake", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\windows\runner\CMakeLists.txt", "CMake", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 46, 564, 468, 13, 248, 1906, 19, 73, 483, 8, 321, 583, 4732
